HHID,Food consumption (annual) (real),Food consumption (annual) (nominal)
00db32cbee1d45dd9d62f1c38e07bded,12069206.723616928,1250600.0
00e0350a70b143a2b400862404036333,2049119.764183832,203840.0
00e43104a8c44f52841894e67791fa82,370982.2069766298,41600.0
00e6ac76424f47e280907962292e1986,1664722.6210645374,165360.0
00ea01f259ee4d8eb488d9fceaeb0a1a,1398418.0007355511,145600.0
00ef22f21d7c441595454369c8b65616,495190.3650872315,54080.0
00f0dfa56a1c467092d049fd95ee8026,659356.3082805075,63440.0
00fc9ca955bc447aaf520e908ff228cd,2544015.2190133706,268840.0
01038b8e18f74aed80b759d2c392b3b9,4203151.521166236,447200.0
010f1b450185421e8df99b21d5365bac,295243.5457268902,31200.0
011105bafa434f739f67cc1bdc4f8468,2142613.8712423868,218400.0
0119b58bbaee46c58b9efe48fb7ca6f5,6760087.018161374,768040.0
011aff388e5f4efcbc0b80238ca697cd,2875112.104068881,322400.0
011cfcc7cb904ca9bef76ef349d6953e,7333966.911096726,729560.0
0122119c52934804a7360d48c713d6d8,836931.8223679741,85800.0
012fd3bf475d4aae838db8ab3f65ff71,9906115.391298432,1045200.0
0133f808dfb046de9addc429545a2436,17872812.373030525,2091180.0
013571e53664428bb6b5af0fe41ed089,6219608.412159558,629200.0
013922eb280a466b83811d58362eda17,1179797.940875429,119600.0
013f3bffa3c14a68a619ba1aaefdd04a,333248.26339075406,31200.0
013fa36503af43a99b0691c52f73a6ee,1996717.6855362619,218400.0
0144bbbfbc044fc5b86083aaa5dc366a,8742197.839723676,963300.0
014ed095c7a64eb8a5a6a936fa7537b0,975568.6859232722,106600.0
015029d52f90425ebcc4643b951d2a5d,21893250.719977602,2483000.0
0150c18e01f443b29181b9ea8ef8063d,3598494.391314963,387400.0
01527ca1ef1d4813949683e2a50fd94f,507231.40749574185,52000.0
0153f47bc58a4036acb8cf0f16309dd2,486143.2093599397,48360.0
015a3f51319b41fdbf609f04fafb2930,7964002.458408013,868400.0
015a767c64064098a877c9e23a73b221,2621620.8857301106,257400.0
015bf2639fae45db9d8ddd6a181eaf89,76366.2349666068,7800.0
015fbc00036045b0acb75851a03e9c03,3296693.729582748,330200.0
0165135290cd45d1930e7edccf460174,1427010.4710133024,150800.0
016a6609064843cba0b0a74488331a18,13739319.312380467,1502800.0
016c85f5ef8b48979f703783132b1205,2641721.4763080254,267800.0
016e9e1e34244a1581240d05c70a2d41,7527020.542164245,829400.0
017055d31bca45609dc2a16c7935187b,2734053.4890721897,277160.0
0175f48c829a48bfa9a8067c84e5a6c8,4783676.004285984,470080.0
01767e4725bf4bfc89265a714c5aaad8,801593.4392090738,85800.0
01780164ef6d4336a52e94401963036a,2891439.5486071436,278200.0
0178693bc28449f393fda5b0ab909568,4994536.648546559,527800.0
018388a980ac4a1e95269d79f85b0e7c,4960633.309022627,529360.0
018c49cda7fc485cab1f0e44ac25f55a,4891126.71306442,470600.0
018db0e23d1240fa8eec9ea8a77e27eb,1960655.1151238445,214240.0
018f4cec68af499ab64667a73e477b22,67477.40273523431,7800.0
01931423235149f78da23e9b2e42bc13,417354.9828487085,46800.0
019472c1810248beba0945f052993af5,1936941.41444616,192400.0
0195bc6422b848e3bfda546c1cb53999,4293438.593533627,435240.0
01976d10227d4bc8a0979581fef9ed5b,18103810.08542539,1875900.0
019f2ab1dd0546ce9dc8e4bd60498991,3407356.104989729,332800.0
019f9a0925d64046b4953b895c3afe30,2710628.589658775,286000.0
01a7c07265a64f9dacbce380400cb129,7039387.37738155,789360.0
01a818ecd6ad427d97d9439342d6c6c9,1596667.922719132,158600.0
01adafc6bd7043b7883338cd91aaab4e,1125520.0110970929,111800.0
01b07d579b3248ed964c5c14e5f7c234,6554573.005388462,705640.0
01b3ce70d0f645fbb9fc54e4e8c656a4,1593963.9585690438,171600.0
01bc84c07fd948e8bc4f1f6e3ea83def,2693017.038954783,273000.0
01bd992208fa45d8957901390e981677,2799710.2281600595,275600.0
01c048993e2f434c954e248cb800ce12,2298041.2065747487,232960.0
01ceb0576d994a6eb7ea36fd3b7e2bd6,7390109.778160294,834600.0
01d44606aa644c1cab7947b637a41a75,1693336.6386853042,166400.0
01d649e11c664fe580315f47328f99f8,1579031.835657193,179400.0
01df2bf32fc44fe1898073c9974448b6,5627175.793130109,605800.0
01e454ab9e88479db27bfce7d848392e,8751570.527173143,893880.0
01e6001fae8e4593a290f7d76b49c517,3188314.6933525796,313040.0
01f93032e1e24ab5a6ac293e2f1ed7cb,3716451.047434252,410800.0
01fd6ea8796e4e69a22bf16380a22fbb,3963466.0699227904,389480.0
01ffb44f0b0d4b1b9a3de34964449d98,5573694.602931697,580320.0
020832bd21934bd995e7673f5a430de2,2164009.4706579195,239200.0
020871d760c749caaccc159ab8a5259d,2601783.467512815,258440.0
021210d6f59245f98ae4930845cd998a,642881.3030154114,67600.0
02186ed95ca64967851c2a0eb305905e,194325.68223250276,20800.0
021d650bc4ac448b931fa3858967dc6f,475422.49157434975,46800.0
022173adec734bf2bdbcce44486f4536,407459.12868365133,40040.0
022a43d6ca0b4a93b7b26627d10e37de,19173102.514619086,1904500.0
022aae14b41d46488caa895611177b7b,6556424.453602323,710320.0
023675a84de64c1e8250253c4bdbd4a5,3750555.211308759,369200.0
023eae063c424100b54b7b6283784dd9,860891.3470927813,80600.0
023f5ffde17946cbb4c15fdc49c38d32,4360735.67090176,433160.0
02426348aa3647b58d35cf69bb354532,4312435.0703776255,421200.0
024289306907479fb94cde22864ba929,997649.112036365,108160.0
02447744d30a4cbabbe88f4687d3d033,333121.01470550755,36400.0
024876ba7ba04b11a82d493c35742a6c,2716613.5633112607,306800.0
024b42b5c7a74acb9ea9ae1c48d0429f,11669740.502137396,1183000.0
02552be8825147f7a1b482a33462585f,3694122.432704072,351000.0
02587b0906ef4737b1d5c9e1c10d4940,4153966.6799072055,447200.0
025f55c153984b50aa38f2e854bd928b,282263.6829450175,31200.0
0260e1e1323647dcafb9b224ebb7f344,2269915.159654206,218400.0
026405411727451086ef33b182d7ab4d,2350700.097228729,231400.0
0270ec0c7df2447595bb92f54e57a238,2876461.5170755233,293800.0
027910a59eef4879b6f00abc63cd15b6,3941685.9491266916,442000.0
02857bb2a2814835b60023851d67ddfb,21671639.83141104,2462200.0
02871273a2564360a5e749087bb13de3,1191993.8076149933,122200.0
028929048fb1494fbcc23d3be3ce2998,1035529.5829182335,105560.0
028f26caa07145689edb8651ce38dfaa,1964689.4979257637,221520.0
02946e13a280495a98db474ede333e80,6800399.704005884,741520.0
02a7ecde52b348b6be1efc6c4d2c1064,1288367.7750391844,132080.0
02aa9e8f50b54103a2fafb3b92e7dec1,3975406.105123728,403000.0
02aaefff9c1b47a3afeedbee93149265,6944700.961968919,735800.0
02adf1093f674aa7a8e488fe05ef9ba3,10634898.720344327,1163240.0
02af9d846cd54dddb387e17197f827a1,1254563.1209288768,124800.0
02b88bd8416340f8ace9945a5c93eeb0,4751412.098618475,525200.0
02c2ce6ec4574fba891a5ccb9f9667fc,2427172.3914574077,261300.0
02c58494edd74b2e9085f2671f7b281e,1148700.5006042027,119600.0
02d8aac5cf254c329a2e9719828f87ff,5298046.788878514,559000.0
02e559e13d5644a3874d52c9027c7d60,2546301.665628624,261040.0
02f384cbdb9145ac8081638cb442babd,3110317.1249803714,291200.0
03068bb567f342b0b4623ca7fc2079a7,760847.1112436127,78000.0
030d90bf88d742fda8555c0bfac4a457,974212.4361079696,102440.0
0315023934ef44a19b10a204a9ab4188,3031167.069462739,320320.0
031759e8521e42f1a4443adc9e6b2005,9043041.986778243,1011400.0
031c836613024b3eb17ffcb37f17181c,437821.9179501122,41600.0
031fcb668c9943b1b643c231e47db453,3765060.093254741,403000.0
0322984a3fb54c93a9028f3ea84bbc20,2632020.6732180915,253240.0
032560fd70604f46a8de6424cf9d13ca,10026375.235228514,1096680.0
0326678d98ee4cc1898a272d53c5ffaf,2197510.3292298308,222040.0
032bc3a7540f4e6f9fce4c8039b9d124,1028768.1406825241,106600.0
032f41b50b6b476195a1c9cd53807e82,737911.5485167188,83200.0
033c766e81e0466b9da476974b72a5ba,5370910.882869204,586560.0
033f1ab71d854697af1b44db64995e64,1275282.7375840314,130000.0
03459e47d4be428da726d8fc293b4d51,1214968.589578894,119600.0
0350c73bcc9d401dbbd2981088bb8d90,1884591.6464881557,187200.0
03525c515e194b0d8fc7be5c11e8969b,1405185.5750240325,135200.0
0358be6967d24b3e9054d712e5771639,6720228.6770614,686400.0
03633e60f3c94c93a9875bc065d5a43e,3936181.826222001,455000.0
0369d0d4f7c948338137cfd7bd7ddaf4,10809805.973912295,1209000.0
036c3f70b20d4c99819b5dacd9d164cb,2015466.0663831665,200200.0
036ca620fa98489f8a58738118001da5,553433.6613875391,62400.0
0373fea0b08b4ca28b5d9a18e093bb9e,7849390.139571264,891800.0
037569a7d57b4998be29127f9df89086,3232916.8257094473,341640.0
038046b2c3324e3d9586ee5fbaf6c7e1,356375.7631774985,36400.0
038a8f41a2c14646ae62d1898a35a321,3311810.302332067,358800.0
038c3a60a6ab4613bd8b95f4c5688be3,892697.916308822,91000.0
038dea8bf30a4cf7be47cbaddb3e9c73,3660753.185122493,360360.0
038ee4479fbe4e8aa2175b1723f83bb0,2312741.108193973,244400.0
0396d136e8aa44ab88f996f45dbf9654,4679221.748091824,444600.0
039ac07b3bed4c7baf0fa778ffb2d151,2211053.1548026567,244400.0
03a8c917e7f84919b05461896d353456,1717770.5559640438,182000.0
03b1f015e1e4471abfcc1c09535eab46,3496045.001838878,364000.0
03b542a11b884feb81515c43e3ff7a9e,11542201.600999491,1136200.0
03bcdd4e5bd24e9fbd6b6db13846767c,3464476.0907401177,350480.0
03c4a40a7abc42d28dacb8e44bdf3a2a,2179520.4659877,244400.0
03c6255c9bcf49e19d8366ed3d3c9ca4,8528372.964485474,875680.0
03dcf3ef05074fc5bdf35bf09ebf11ca,4104557.9524057293,403000.0
03e1ccae17f3465fba5413877960c310,2588826.1714256587,282880.0
03e8493d068743a6af2162a3e64dc355,4874402.623115683,553800.0
03ea501b6b354466aa8a9ad1d042af87,8177034.331243738,894400.0
03ecedc167b54a8fa29e6cfab3fb6097,2211053.1548026567,244400.0
03eddf867dc44d299b0b3a0744548b4b,1359110.0476729497,135200.0
03f67f44b04748d9be2effc33a5e4281,2249425.7778875898,210600.0
041d4360919242578edd3cc9ab672e76,7702756.274253899,873600.0
04341a0bcd214a6898989e14687fc02f,2896723.001523642,301600.0
0439301b486040faa4e825b6268b3586,32283.630247606445,3640.0
043b0614c80041e7bb86224e331c7834,1133717.4505963218,118040.0
043d6ea5fc97482fa451f144b5e90c02,8516302.187146114,898560.0
043f678ac5794a6f8f92497fd2f81cbd,2900790.7540442273,327600.0
044741b7b1cc487f8842dea41e31c2b4,1175670.3775066417,125840.0
044ac700dc4f45dd8b2c560ef3ae45e4,1809349.4108956535,197600.0
044f0bdefc81439ba3ee3785738a0d66,928400.5172013021,96200.0
045025a673ff4cacb7c82cb354964895,4049289.6224854942,456560.0
0451bdd3c98f4c72b5cf4dcddb9e5bad,12368469.18209067,1175200.0
045e6c0ec46c45ffa1cf157dae6c5941,6874271.008974785,735800.0
04657568ae874de494c2e9e663d2f42e,1203893.8803900366,130520.0
046c327ce16044619539188534f8708b,3109210.915720044,332800.0
047652cfcb5f47bdb610528f61dd70d4,1751899.6526829049,189800.0
0477f64669ab49d48cc78e92294b82bb,762712.4931277997,80600.0
047acb64933c45f7b5fa29fb430a5f1d,2068850.4738885057,209040.0
047b3e0f65444089b0807c2b6daaa70a,5721129.839337656,650000.0
04a87c97483d4568b5b72e3b40aa88f3,846364.8310837519,89440.0
04a8e8f755dd47f0bd7a1b6d589a8212,1597312.775953676,167960.0
04b78611951d4b26b1eb3aa949e28921,1729480.1918360598,195000.0
04b81da74661404991cbe3a13fce2890,9692324.662322378,1094600.0
04b9f1eab0f44ce88e2ccf75397b6102,1972768.2510376526,205400.0
04c2601217eb4d00a9d280cf3172fa15,0.0,0.0
04c3bda4cc394019ad34aba3fad90602,1284309.4239119722,135720.0
04c51e48461447d3856c8347ce07e0ae,5652841.378806396,633880.0
04cdc259bca547db94c4f827f5982a8b,481617.8652136398,47840.0
04d2b8f4308048d79edb72679d1482f6,4119926.73829494,409240.0
04d3645961f94db78bf7e65245832b1f,2298565.069238089,218400.0
04d6048c1d574e149b5a427fbb502b3c,3262813.9314560015,329680.0
04efa80ab5b1463bbdc835c93451337b,1596653.9874552072,162760.0
04f0339581cc4a86b60a080b698fb71a,4533939.544127046,514800.0
04f48353d2b74420bb3ddd3875db60d6,20053072.058446523,2186600.0
04f7eecbb53e4620bfffbcabf95fb663,1034425.2369442529,104520.0
0500aa69dab34b238cca88f1edca16d4,3377183.3734021736,359320.0
050474c723ee4e87942bb4dbed30fac8,49740090.143597275,5641220.0
050b251126da4c75821b31f56ce47f77,6581653.201967392,616200.0
050f183722474217bc134c5ef4ce26ce,2219798.3776630107,252200.0
05155a5f72944b468dd8dd4eaf6921ea,2172515.3702571793,215800.0
0519af7c75bb4a71bc882e9c4aa18434,1120285.0343012926,111280.0
051a084472b74ed893a4c16e199aa58c,3902274.7436930886,426400.0
051beb0c3a98447a9dc96c4c4f2ab94e,3961078.2049868866,437840.0
05225731c78f4d9d851d18248ac6214b,12555550.970241113,1373320.0
05228a9c87024b9c8d6e1529de80483f,3769026.3378108856,411840.0
0523bef9948b4451ada8036536ee536d,38686279.97360123,4395300.0
0525788e042c46fdb271874620eccec1,2112273.2273718813,233480.0
052e38b1fe88414489d863b95db04a4b,1990267.8306942019,201760.0
053433b251e2436e938972994c9fd691,1175115.5406197568,127400.0
05394f69bcc5474bb516c8dd75948782,3831796.3203386357,419120.0
053d2f88a47e4c95ac676b755e5a1fda,15992045.529303752,1630200.0
053f814a8dbe4926960387ff5514a246,191855.59846853174,20800.0
05503ca1c3544fcaa31d3d020e460b51,789117.7613216038,80600.0
05567eee27184e38a942dd6df5d19032,2617488.3979002163,260000.0
055cd63d59e44961b16cf2d889e4a221,463727.75872078724,52000.0
055de79d89084264a3b9d698bae5563b,2681504.987977667,296400.0
05663c5cc5c44c769182e787c00935a0,5598491.217993897,570700.0
056d07500d8544dd98559529200ecd59,1448405.3847047777,148720.0
056e374b9b254bbfa22c9c5b4f8b5e00,3064753.4256507857,291200.0
056edcee1bef4abbb6ac3a51371355f5,898983.0004728544,93600.0
057253ecac664d1289c4ef8128f4541e,12473151.711212447,1274000.0
0572c8f905c74c09a08b1ac75a63b75e,3828215.9399803043,409760.0
057c1337fa49489b97ac59828bf78c7f,3453320.3778315103,328120.0
057d9db7920f42fb99672dbf29e2745f,11020365.05823816,1141920.0
057e5b1e3e7249ca923895994fbd76f5,101446.28149914838,10400.0
057ec8b29d774e57a569a70ff0de2b3c,1618114.9276382718,174200.0
05971e7f6fcc4ca89945579313e9b45c,8035535.414621258,876200.0
0597268002fa48a381ef60c3640c08a5,2241616.0876633152,227240.0
05ad773109ce42ac8abdf674808837bc,774124.2504071802,80600.0
05bc926fd9434d4bb63dd4c0861164f7,3444508.033480386,364000.0
05bf82dd81ff46bd8b6939b1198d3cc9,2975829.5470230165,322400.0
05c034395da644bba56a387508afb6c0,6327553.89613772,681200.0
05c31b5220db427eb38b50266d8fc2a6,1980927.0482264573,195000.0
05c93f8fda854921b3faf67a1e1c152a,1208330.160696127,136240.0
05cfac8753e84c17b1e7e301f7c177b5,1320379.2915778065,138840.0
05d816acfe87482695052e463c36264e,6041513.1103405645,686400.0
05e32583456a45b3bf5511907700dcb4,3539351.352114849,390000.0
05e341bb4853459aabbfa67209ace5af,3671669.6350832493,387400.0
05e533fa59be4e3db063cc3997575f84,51014.615981961586,5200.0
05fdb14f8dea44ad8deba53a3bb88a15,5798937.2051526485,658840.0
05ff1a23a6f343ad8aaef479bbe7afea,2987273.943190823,330200.0
060360291ed241a990c08238aaccec80,17257345.71070626,1887600.0
06067a2b54fe4d6cbbe47cc1ac704714,2001829.6144786177,231400.0
0609c4a496154c629638c8fe8224f363,4898726.232765368,496600.0
060fedcfadf843ae964cc3b4fae19c41,3318255.306815841,377000.0
06139821850847a09bf4f2d285e2fc88,5630348.038561778,638560.0
061db31cb4914c2b95ea4bf289dd2b5d,11925634.92212811,1354080.0
0622a28f61d0441b90d0fffa20281fcd,666842.3144078512,67600.0
06257db2f47643f0abb7ca112cdc66e8,4285777.849922922,467324.0
062783b970394db88571a55b70a70b57,3721272.274530087,348400.0
062b6438e9a44083b3f3488693059b06,9205205.82490111,874640.0
062d121b373f43e89904d63541682a83,6796662.050695406,689000.0
0633105f81f941f4aaaeb9114c6178b5,8647106.733230662,871000.0
06395997aba74b9294c6bf5d383e3871,29120040.485592436,3218800.0
063cd4cc407f4c6094dde496d3206213,2501943.158743473,267800.0
063e73be877e44fda283b36cafeafa51,5023399.555235153,520520.0
063e95568cdc4b6bbd7bf020bd22e130,108795.29743337732,11440.0
06403c48037a4fa99702bf9af04b184e,799096.000420315,83200.0
0645dfa0724b45da83cdff64cd067186,3887373.3520707204,410800.0
06526720b94042438a0d4ed61a4f368e,1318801.659488929,135200.0
0656cc2120e54060a4b823b9a8d1dd00,20404834.419615157,2171000.0
065726990893455f8040111878c616c1,5951659.094046033,644800.0
066bf396a7d14740be8f666c8aa24511,10884195.340621602,1227200.0
067331dda0664a7cb6cf266962011d9d,5983391.034465083,678600.0
0674dd56309642f099ee540c63f1ee5c,287783.39770279755,31200.0
06798314c71f4fc889d1eb77de1dad4f,1883775.5873997791,202800.0
067b9403d16847f8a54c635c544e3f6b,1134957.579827103,109200.0
0682579f8e6e48fd8cf2ad3102e4e6fc,1954360.9368414716,198120.0
06874e4861ff4f8f8e4ffea005e2c396,570506.9898892196,56160.0
068f4bd80edd4aa7964a30765703bcf2,1135739.3918273107,114400.0
06904216e7d940cfbc8a0efc330494fa,4451951.839966937,486200.0
0693344bf49a4ac8ac51832d6e271e1f,682133.4200986918,75400.0
0693c353de3d47fb971f1338bb3d6732,3344805.942690827,369720.0
06960556db934fd4b2054ede58010fcb,420623.6137034138,42640.0
069ab247f7264ce581036e1060e312b8,9474511.747335173,957320.0
06a2fbe16e5941d4ae5e660abd2e2732,9972917.769480376,1115400.0
06b77431e2bb4e54b02d30a83d4dac06,423395.5244175263,46800.0
06bcc6c81edc48b1a3c177c477c1c683,4344734.156180385,440440.0
06c1d6be22dd446fae4a06119b783348,451970.8234664903,50960.0
06d70b3a96614c8895551777bff9f711,2092000.504774533,205400.0
06e3f8af2a99450aabe5356ada7569db,494524.07924262417,52000.0
06e77cc9e00e4c24a51a0aa75726810b,6911607.428935979,698360.0
06e7b01f6374425face658eaf689e2d5,660678.9190614385,72800.0
06e9255b8acf4248a65f4106ed7dbed2,1409393.625841479,148200.0
06eb8408f7854dfaa242f7bd1abb8132,1569812.989499816,169000.0
06f60886c233472194581940f1e33fee,1491968.3868031232,148200.0
06f768006ce1427598758f866b88e877,5009041.000690072,547040.0
06fb0b44cfc5467889235f3aa8bcbe44,2146340.4862781772,213200.0
06fc2a5524ef4c58994e6836b284efcf,1923583.599253417,195000.0
06ff7b4630274587aa97675a304f911f,3550619.852470193,364000.0
07006290269d4585b14c04326dfe7651,2378442.583427662,236600.0
0704befa47ec438cb3b03c791f59d2a9,628188.883904744,62920.0
07081ebda1144c88bb49d52ecedfec85,5691684.933351459,540800.0
070d41f5756a4956914884ea9130a9b2,2122598.7511164616,221000.0
0718eea3a27a40d1963d0e0bcbfe9393,3205815.83928175,364000.0
072890034f9e44c5882281bcb9f92061,2820833.187285823,303680.0
0728bb9a7c014fa98e5bf639a29acc4b,2206448.5591695555,221000.0
0731d5aafec648239534f16dbebe3bdc,16381468.008616457,1705600.0
07365a847413480cb1090cba3b4d48e6,2299413.0173962032,215280.0
073915a800cf4767a7112a8fa3fe1c34,1496439.6747053554,169000.0
0742aa43ddcb4f36a7289331d93a24ad,2569863.615973953,257400.0
07471ea9c3124a6b8ef9650a827f51a6,3126578.666593121,341640.0
0747c723328a42648af3875aebe1fe91,3010812.618080187,332800.0
074c3f03e28f4d7aaab8e3c3baed3b40,5253863.015401347,499200.0
0756d636292e4c3a963bb5f951dd5097,2305973.589114746,260000.0
07575c211add42af80ac0d4d0c484da2,7390562.779138241,816920.0
07587eabd9e242b9b19fcb6814ef70d8,5954264.421974909,667680.0
075b6000cada453084702015ef4a53fb,1194139.6104835353,111800.0
07648ca744b24bf59e5beca3cf848d2a,729615.587031709,70200.0
076708c414514adfb6e9e75009b7e477,1251186.124140854,125320.0
0769845cecee40f3a9547612f61d743d,432801.8941315838,47840.0
0769d598816c45129d257a8e03f67341,1405138.7233855654,143520.0
0773ed5b795a44dfa136f87c662434d8,3810544.819901086,388440.0
077f74e16d2b4f8dbe061be0c275189d,4181877.0697629224,416000.0
0783a981baeb45eaa875c258fca3febc,1529487.7953319775,176800.0
07842b5ddf284d3ba757731c742b2a26,3610189.520066502,338000.0
078501b6166d44f586351b3e9cea60af,2601195.4133169805,275600.0
0786ae92975546a6ba9badc418921d8f,3712617.4784747413,418600.0
0788c0ac6bd446cc935d7ee3e56f6021,1353199.58458158,143000.0
07934261c121450cbf3fd772bc6ceb98,1557750.849614266,163800.0
07972ae13d3b438bb5677debe35df9da,578637.3149802698,63960.0
07a1460ecf49469683ada0aacba733ce,3297410.577546943,374400.0
07a1ce1defcd4f21af47a3805d722165,6505920.562964764,635440.0
07a6deac46fa429d89c06281f16239de,147237.47622548946,15600.0
07a8e804829c4bc084c6f097fbde32ac,2614751.237004577,278200.0
07b5f16a7016470fb8c9588181963f86,1641823.1809622915,161200.0
07b6494b1a3b49ddb6c6aed6d02cd0cd,1426830.368964449,139360.0
07b7f8c4e0aa4da8afe28b341007695a,3603260.7412593807,364520.0
07bb3084c7c842e3af688a07bc13eee8,12024708.170683041,1125800.0
07c27dbbd58a4be780f4b8d62f0c4090,1023841.7505385285,106600.0
07c800bbe060413c8e619bfddf3a98ab,1656756.4781490364,178360.0
07d941882af046b3a9323a666b42f1c9,6983259.591304289,663520.0
07e4f3f553ae4c00b33a5944b2644d06,10661429.63216702,1232400.0
07eb45113d6f4988b5516ebff9135430,1298531.0006830117,135200.0
07f0022a66b145be9b8df38b4d9036a4,4566726.868395595,473200.0
07f4d567ab8f478385822f42ce64a361,810238.6822665662,80600.0
07fec28e72e249b5aaf8d64620918901,752060.9409569207,73840.0
08001161fe1c4c7aa17c6ec2e1b79608,504346.63293799397,50960.0
080260e598714d738bbdfc2d7bf6999a,2853607.6292795734,274560.0
0815145f1b76422ba7958eb4b4da4ffa,3562605.4517711415,376480.0
08181a2ab6ce48beac14a9ffe39eb0be,6033812.433319211,645840.0
081d4889714d47639f1b525a2757a572,21312712.106146432,2493660.0
08241cf6339d4495ab3fe62a061e88cb,1235166.588058777,120640.0
0824605038cd4d2da364ba133a54fce2,3402593.2216348276,371800.0
0827244debe24c5484704660bb03aa51,5371580.6053799065,550680.0
0827af8294874a4189eb42fafde4ce7b,2388156.087571754,239200.0
082f69688bb149468dfcff796737ec67,3931466.4299788624,413400.0
0830770cc024431b99b5a18d1832bbbb,7043855.058192523,800280.0
0848c4c99c3343bdac59008b13f32d3f,2221274.120518759,213720.0
0849c668e874453db9fd7a7a89e49e57,2221673.564831349,227760.0
085341e9d8014d7d8bb1b566a646bf57,4738354.583501342,462800.0
0857a8a26e0c49549f5a418bcb1b300e,2141059.8422707394,241800.0
086823655bdb4f489d61a5f37999faa8,694907.0282691662,71240.0
086891537b0844baac727c064dab7cac,2367341.33828038,239200.0
08697bd6b28545e2828754f8477cd9e6,1968090.9131110006,227500.0
086ec8c10363478292e05f0c589e4e09,5359742.902867961,501800.0
0878bcb54e6343f0a6f9ae8f0fab267f,2046411.7013513772,226200.0
088d410f45a64abf855426ac81295634,4475292.219074634,439400.0
088dbc602fe54fb698dc5fd934c8dee8,2692083.3636598815,267800.0
0897ae6d3a1d4680b4c23f9f8ed58720,3292467.0869175894,369200.0
089c40d58ebb4dbc8bf14ac2c859b7fd,4437983.926792429,452400.0
089fe6bf924449cebdac63f40a154894,1323502.7506961466,137800.0
08b4c4bedff74bf1a2312541790ce519,396185.4096452915,39000.0
08b6ccd13747443d97de31a8a5f6081b,19286823.9615759,2064400.0
08b8e062f82a400596a53d1bf3c72bf7,2222958.5399066154,250640.0
08b906efbb62439e8b66f976e01b142e,2907670.571215216,317720.0
08ba1b03e7cd4f86b527123d1bb8029b,1059240.761911156,104000.0
08bcdf2fc4bf48dba1e207caa4412c3d,1297094.3769452607,124800.0
08bf213ae449406a8a1738edae77ad23,2845842.4666757295,270400.0
08c24cbc8cad4381bf10691f0bfd13b3,643299.2767066249,65000.0
08cded0c57634f9d9133e3875e376a14,519164.3668634249,52000.0
08d852cde518415ba8ccdca5a255b742,4484966.211467232,419900.0
